protein_UniProt_ID,BioDolphinID
P31327,BD4utv-C-C-F9V1
P26789,BD1nkz-A-A-BOG1
P18946,BD3tgu-C-C-CDL1
P18946,BD3tgu-C-D-BOG1
P18946,BD3tgu-C-C-PEE1
P50667,BD8ugi-4B-4B-CDL1
P50667,BD8ugi-4B-4B-PGV1
Q69GF7,BD8ugh-4B-4B-CDL1
Q69GF7,BD8ugj-4B-4B-PGV1
P68530,BD1v54-B-E-PSC1
P68530,BD8h8r-B-B-LFA1
P68530,BD1v54-B-A-TGL1
P68530,BD1v54-B-P-PEK2
P68530,BD1v54-B-B-CHD1
P68530,BD7xma-O-G-CDL1
P68530,BD7xma-O-N-TGL1
P68530,BD7xma-O-G-PEK1
P68530,BD7xma-O-G-CHD1
Q04614,BD8bef-K-u-CDL2
Q04614,BD8bef-K-K-Q7G1
S5DM51,BD7q37-A-A-HEX1
P74787,BD7rcv-T-A-SQD2
P74787,BD7rcv-T-D-LHG2
Q8DIQ0,BD6w1o-T-T-STE1
Q8DIQ0,BD6w1q-t-t-SQD1
Q8DIQ0,BD5zzn-T-D-LHG2
Q8DIQ0,BD5zzn-T-T-BCR1
P12313,BD4il6-T-b-SQD1
P12313,BD4il6-T-D-LHG2
P12313,BD4il6-T-T-BCR1
Q8DIQ0,BD6w1r-T-T-STE1
P12313,BD3wu2-T-L-SQD1
P12313,BD3wu2-T-D-LHG2
P12313,BD3wu2-T-T-BCR1
Q8DJZ6,BD6w1o-I-I-STE1
Q8DJZ6,BD5kaf-I-I-SQD1
Q8DJZ6,BD6w1q-I-I-BCR1
Q8DHA7,BD6w1o-M-M-STE1
Q8DHA7,BD8ez5-M-L-SQD1
Q8DHA7,BD8ez5-M-A-LHG2
P03888,BD6g2j-H-H-CDL1
P03888,BD6g2j-H-H-3PE1
P03888,BD8ca3-H-H-UQ91
P00396,BD8d4t-N-N-PGV1
P00396,BD1v54-A-E-PSC1
P00396,BD1v55-N-Z-DMU1
P00396,BD1v54-A-A-TGL1
P00396,BD1v54-A-A-PGV1
P00396,BD1v54-A-B-CHD1
Q9B6D6,BD6yj4-M-M-CDL1
Q9B6D6,BD6yj4-M-D-PLC1
P03887,BD7qsk-H-H-CDL1
P03887,BD7qsk-H-H-3PE1
P03887,BD8q0m-H-B-U101
P03887,BD7qso-H-H-CHD1
A0A0U1RS44,BD8uep-1H-1H-CDL1
A0A0U1RS44,BD8ud1-1H-1H-PC11
A0A0U1RS44,BD8uep-1H-1H-U101
Q950Y0,BD7w5z-Y0-Y0-CDL1
O79876,BD8ugn-4A-4A-PSC1
O79876,BD8ugh-4A-4A-PGV1
O66905,BD5xj6-A-A-OLC1
D3RP69,BD7vrj-I-I-CDL1
D3RP69,BD7vrj-1-1-PGV1
D3RP69,BD8wdu-9-M-MQ81
D3RP69,BD8wdu-1-2-CRT1
A0A143BHS7,BD7o0u-ad-ad-CD41
A0A143BHS7,BD7o0w-ab-ab-0V91
Q9B6E8,BD6yj4-H-O-CDL1
Q9B6E8,BD6yj4-H-H-3PE1
Q23DP7,BD7w5z-E-E-CDL1
P0A429,BD6tra-J-A-PQN1
Q9KJG6,BD6i8w-A-A-BOG1
Q9B6C8,BD7o6y-2-X-CDL1
Q9B6C8,BD6yj4-N-D-PLC1
O79881,BD8uet-1M-1M-PGT1
O79881,BD8ud1-1M-1M-3PE1
P03911,BD6g2j-M-L-CDL1
P03911,BD6g2j-M-M-3PE1
P03910,BD7qsd-M-L-CDL1
P03910,BD7qsd-M-L-3PE1
O78755,BD6zka-M-L-CDL1
O78755,BD6zka-M-L-3PE1
A0A143BJ28,BD7o0u-H1-H1-CD41
P0A427,BD6tra-I-I-LHG1
P0A427,BD6tra-I-I-BCR1
P92533,BD8bef-A-A-PGT1
P92533,BD8bef-A-f-3PH1
P92533,BD8bef-A-H-UQ91
P03924,BD7r41-J-J-CDL1
P03924,BD7qsd-J-J-3PE1
Q9B6E9,BD7o6y-6-X-CDL1
Q9B6E9,BD7o6y-6-6-3PE1
P03921,BD8c2s-L-L-CDL1
P03921,BD8c2s-L-J-3PE1
P03921,BD6g2j-L-L-CDL1
P03921,BD8olt-L-o-MYR1
P03921,BD6g2j-L-L-3PE1
O79880,BD8ud1-1A-1A-PC11
O78756,BD6zka-L-L-CDL1
O78756,BD6zka-L-s-MYR1
O78756,BD6zka-L-K-3PE1
P03898,BD8q25-A-H-CDL1
P03898,BD7qsd-A-A-3PE1
P03899,BD6g2j-A-A-3PE1
P03920,BD7qsd-L-L-CDL1
P03920,BD7qsk-L-o-MYR1
P03920,BD7qsd-L-K-3PE1
P03920,BD7qsk-L-i-CHD1
P03925,BD7ak6-J-J-3PE1
P03925,BD8c2s-J-H-3PE1
P03925,BD6ztq-J-H-3PE1
Q9TDR1,BD8ud1-1L-1L-CDL1
Q9TDR1,BD8ueq-1L-1L-MYR1
Q9TDR1,BD8ud1-1L-1L-3PE1
P03892,BD7qsd-N-Y-CDL1
P03892,BD7qsd-N-L-3PE3
O79875,BD8ud1-1N-1N-CDL1
O79875,BD8ud1-1N-1N-3PE1
P03893,BD6g2j-N-M-CDL1
P03893,BD6g2j-N-M-3PE1
I7MGF9,BD7w5z-7A-7A-CDL1
Q84W12,BD8bef-f-y-PGT1
Q84W12,BD8bef-f-f-3PH1
Q9B6C7,BD6yj4-A-O-CDL1
Q9B6C7,BD6yj4-A-A-3PE1
Q23M99,BD7w5z-M2-M2-CDL1
Q23M99,BD7w5z-M2-M2-PC11
P56632,BD8ugj-1K-1K-3PE1
A0A1H1XA63,BD8qqz-A-A-LFA1
P03903,BD8om1-K-K-CDL1
P03903,BD6zr2-K-K-3PE1
D3RPF6,BD8wdu-H-D-CDL1
D3RPF6,BD8wdu-H-A-PGV2
P02948,BD7yml-F-F-MYR1
P02948,BD7yml-Q-Q-PGV1
Q3J1A4,BD7f0l-Y-Y-CDL1
Q3J1A4,BD7f0l-3-3-PGV1
Q3J1A4,BD7f0l-3-3-SPO1
O78754,BD6zka-K-K-3PE1
P03902,BD7qsl-K-K-CDL1
P03902,BD7qsd-K-K-3PE1
D3RP74,BD8wdu-D-D-CDL1
D3RP74,BD8wdu-D-A-PGV1
D3RP74,BD8wdu-D-B-CRT1
P00415,BD7xmb-C-C-CDL1
P00415,BD7xmb-C-C-PEK1
P00415,BD7xmb-C-C-CHD1
P00415,BD7xma-C-C-CDL1
P00415,BD7xma-C-A-PGV1
P00415,BD7xma-C-C-CHD1
D0VWR5,BD8gn0-z-z-BCR1
O79882,BD8ues-1J-1J-PC11
Q6N9L4,BD6z5r-5-5-6PL1
Q6N9L4,BD6z5s-3-3-CDL1
Q6N9L4,BD6z5s-1-1-U101
P02947,BD7eqd-K-K-PEF1
A0A2S6NEK3,BD7xxf-A-A-CDL1
A0A2S6NEK3,BD7xxf-5-5-PGV1
P06008,BD3g7f-H-H-HTO1
P06008,BD2i5n-H-H-HTO1
P06008,BD3t6e-H-H-DGA1
Q9B6D3,BD6yj4-L-M-CDL1
Q9B6D3,BD6yj4-L-D-PLC1
G3XAP7,BD7pz3-A-A-AKR1
P02974,BD2pil-A-A-HTO1
P02974,BD2hi2-A-A-HTO1
Q931R6,BD2dgj-A-A-ACY1
O75347,BD1h7c-A-A-ACY1
Q59X88,BD2x7p-A-A-ACY1
P49040,BD3s27-A-A-MLA1
P11544,BD1t6j-B-B-CIN1
Q99816,BD1s1q-C-C-ACY1
Q93EK7,BD1g9r-A-A-ACY1
O28625,BD4tq5-A-A-BOG1
P83824,BD1v4v-A-A-ACY1
Q58989,BD1l7o-A-A-ACY1
A0A0B4KIF6,BD5fhp-B-B-MLA1
Q8XV73,BD2qgu-A-A-PEF1
O14214,BD4jwf-A-A-ACY1
Q13907,BD2i6k-A-A-ACY1
O75369,BD3fer-B-B-ACY1
Q3HV58,BD5xyr-A-A-MLA1
O31797,BD3kvp-B-B-ACY1
Q9X1H9,BD1vpv-A-A-PLM1
O55013,BD2pwn-A-A-MYR1
Q9X1A7,BD2grj-A-A-COD1
D2ZZC1,BD4qtn-A-A-BOG1
Q9X1H9,BD1mgp-A-A-PLM1
W2SRJ3,BD4xcp-A-A-PLM1
Q58609,BD7b1l-A-A-OLC1
Q9HWC1,BD2f9w-A-A-PAU1
A9CKD6,BD2igt-A-A-ACY1
A0A0H2VY20,BD3k3s-A-A-MLA1
Q8ZK57,BD3ec7-A-A-ACY1
A9CF87,BD3dci-A-A-ACY1
Q7CZ16,BD2qpv-A-A-ACY1
Q8EGC3,BD3ju1-A-A-ACY1
B7GMZ0,BD3quf-A-A-ACY1
Q2IWM2,BD4oan-A-A-X2X1
D1AZL7,BD4ovs-A-A-SIN1
A3QCW5,BD4oa4-A-A-SIN1
Q48AL6,BD4pet-A-A-PYR1
Q2IUT5,BD4o94-A-A-SIN1
Q8U1U4,BD2qm3-A-A-ACY1
Q8ZJZ9,BD3s7z-A-A-SIN1
B4E9P3,BD5b8h-A-A-PAU1
A0A6L7H165,BD3m49-A-A-ACY1
Q9UZ55,BD4cza-A-A-BOG1
Q9UZ55,BD4cz8-A-A-BOG1
Q9UZ55,BD4cz8-A-A-PTY1
Q8YJY7,BD6e12-A-A-OLA1
A1JMX7,BD5l07-A-A-ACY1
Q9KD11,BD4e0a-A-A-ACY1
Q88P91,BD5uwb-A-A-PEF1
Q8A5J2,BD6ug4-D-D-PYR1
F8G0M2,BD4l0c-A-A-ACY1
P44046,BD5k8k-A-A-LP51
Q45488,BD1es8-A-A-ACY1
Q8ZU79,BD1l5x-A-A-ACY1
Q65EQ1,BD6nkg-A-A-ACY1
A0A0H2UPA7,BD3obh-A-A-ACY1
Q58899,BD4nes-A-A-UD11
Q0KC03,BD4p8b-A-A-X2X1
P45545,BD4j8l-A-A-ACY1
A0A6L8PH16,BD3edn-A-A-SIN1
Q81S27,BD8ep7-B-B-ACY1
O30132,BD2h6l-A-A-ACY1
P27828,BD1vgv-B-B-UD11
Q8TZX0,BD3u02-C-C-ACY1
P45083,BD2b6e-A-A-ACY1
A3M8H2,BD7t1q-A-A-SIN1
A3M8H2,BD8f8o-A-A-SIN1
P44741,BD3m7l-A-A-BOG1
A0A0H2WZL3,BD3ib3-A-A-PLM1
O66939,BD3kb6-A-A-PPI1
Q6ZZJ1,BD3dfk-A-A-DKA1
A0A1G7VV58,BD7q4j-B-B-D101
P33905,BD1h0m-A-A-LAE1
P0CG48,BD1s1q-D-D-ACY1
A0A1G7VV58,BD7q4j-A-A-OCT1
Q9KQS3,BD3by9-A-A-SIN1
Q5SJQ7,BD2dt8-A-A-PLM1
O76054,BD1o6u-A-A-PLM1
Q3IXX1,BD3onp-A-A-ACY1
P44815,BD1vh8-A-A-ACY1
Q9JZW6,BD1o68-A-A-KIV1
Q5ZTD3,BD3kxw-A-A-1ZZ1
Q8PYS1,BD3ipi-A-A-MLA1
Q8NN12,BD3i4k-A-A-ACY1
A0A0H2VDD9,BD3pbk-A-A-1ZZ1
D0E8I5,BD4mlm-B-B-BOG1
Q4K4R5,BD4iji-F-F-AKR1
Q9J563,BD6br8-A-A-PGV1
P0AEZ9,BD1mkz-A-A-ACY1
P53889,BD1nkq-A-A-ACY1
Q6NVY1,BD3bpt-A-A-HIU1
E8MF12,BD4wh3-A-A-ACY1
P08202,BD4f2d-B-B-ACY1
Q8ZL27,BD7lc0-A-A-ACY1
Q8ZG93,BD3os4-A-A-ACY1
P9WQB3,BD1sr9-A-A-KIV1
Q188Q3,BD6ue2-C-C-PPI1
F8QQG5,BD3u3l-C-C-PLM1
Q5SI52,BD1wn9-A-A-ACY1
Q9HTC2,BD2g39-A-A-ACY1
F1SCH1,BD7v31-v-v-PEE1
F1SCH1,BD8ugn-1o-1o-MYR1
F1SCH1,BD8ugh-1o-1o-3PE1
P54965,BD2rlc-A-A-CHD1
P23360,BD1i1w-A-A-ACN1
P96787,BD6gux-A-A-D121
P96787,BD7zy3-A-A-DD91
P02945,BD1brr-B-B-OCT1
P10968,BD2x3t-A-A-DBB1
Q12HD7,BD4pdd-A-A-MLA1
P0A8K1,BD6l07-I-I-PEE1
P0A8K1,BD7cny-D-D-G8C1
Q3UIU2,BD7ak5-i-h-CDL1
Q3UIU2,BD7ak5-i-i-3PE1
Q02367,BD7qsk-i-h-CDL1
Q02367,BD7qsk-i-i-CHD1
P04038,BD5iy5-V-V-PSC1
P04038,BD7ypy-I-I-DMU1
P04038,BD5iy5-V-N-TGL1
Q9X4B7,BD2j58-A-A-HEX1
Q8TD43,BD6bwi-D-D-Y011
Q8HXQ5,BD5uja-A-A-LTX1
P0AEB5,BD6zyd-A-A-PEE1
A0A5P4NAV9,BD8bd3-M-M-SQD1
A0A5P4NAV9,BD8bd3-M-M-LHG1
P0ABS5,BD1t3w-B-B-ACY1
P41594,BD4oo9-A-A-OLA1
P41594,BD6ffh-A-A-OLA1
P41594,BD6ffh-A-A-OLC1
P06881,BD9auc-P-P-PLM1
P05979,BD1pth-A-A-BOG1
P06010,BD3t6e-M-M-HTO1
P06010,BD3t6e-M-M-DGA1
P86352,BD4m3c-E-E-ABU1
P03300,BD1tql-A-A-ACY1
Q87T87,BD4exo-A-A-PYR1
P52699,BD1wuo-A-A-ACY1
Q9LCQ7,BD3wl7-A-A-P2D1
Q8GNN6,BD2ynk-A-A-D121
Q5BLE2,BD7x15-A-A-PEF1
Q8XZT7,BD4fdb-A-A-ACY1
P80280,BD2dcx-A-A-DOA1
P69681,BD1u7g-A-A-BOG1
Q58609,BD7pow-A-A-OLC1
P13134,BD2id4-A-A-MLA1
Q7WYN3,BD1zv9-A-A-ACY1
G0SEG4,BD6zm2-A-A-POL1
P00782,BD1a2q-A-A-ACN1
P00782,BD1suc-A-A-ACN1
P00782,BD1sub-A-A-ACN1
F1S1A8,BD7v2c-Q-B-PEE1
P07471,BD5b3s-G-G-CDL1
P07471,BD6juw-T-P-DMU1
P07471,BD5b3s-G-C-PEK1
P07471,BD5b3s-G-G-CHD1
P07471,BD1v54-G-G-CDL1
P07471,BD1v54-G-C-PEK1
P07471,BD1v54-G-O-CHD1
P06971,BD1qff-A-A-DAO1
Q5SM42,BD3anp-D-D-DAO1
P04117,BD1adl-A-A-PPI1
P04117,BD1lic-A-A-PPI1
P02768,BD5z0b-A-A-PLM1
P02768,BD2i2z-A-A-MYR1
Q9FEY4,BD8ow6-B-A-PID1
Q9FEY4,BD8ow6-A-A-PID1
P61587,BD4bg6-Q-Q-FAR1
O75208,BD4rhp-A-A-PEF1
Q13627,BD8c3q-A-A-RUT1
P35747,BD6xk0-A-A-MYR1
P41597,BD5t1a-A-A-OLC1
P0ABE7,BD6c1r-B-B-OLA1
P0ABE7,BD6c1r-B-B-OLC1
D0VWR8,BD3wu2-D-A-SQD1
D0VWR8,BD3wu2-D-D-LHG1
D0VWR8,BD3wu2-D-D-BCR1
D0VWR8,BD5v2c-D-A-SQD1
D0VWR8,BD5v2c-D-B-LHG1
D0VWR8,BD5v2c-D-D-BCR1
P06971,BD1fcp-A-A-AAE1
Q9Y5W5,BD2ygn-A-A-PCF1
Q9Y5W5,BD2ygo-A-A-PCF1
Q9Y5W5,BD2ygp-A-A-PCF1
A4F255,BD2qad-H-H-MLA1
P0C0Y9,BD8vtk-M-M-CDL1
P0C0Y9,BD8vtk-M-M-SPO1
P0C0Y9,BD8vtm-M-M-CDL1
P0C0Y9,BD8vtm-M-M-SPO1
P0C0Y9,BD8vtj-M-M-CDL1
P0C0Y9,BD8vtj-M-M-SPO1
P0C0Y9,BD8vto-M-M-CDL1
P0C0Y9,BD8vto-M-M-SPO1
P0C0Y9,BD8vtn-M-M-CDL1
P0C0Y9,BD8vtn-M-M-SPO1
P0C0Y9,BD8vtl-M-M-CDL1
P0C0Y9,BD8vtl-M-M-SPO1
P03960,BD5mrw-B-B-BOG1
P02788,BD2gmc-A-A-DAO1
F1Q9N9,BD4lur-A-A-OLA1
Q8ZVU2,BD1m5q-1-1-ACY1
P01308,BD5uqa-L-L-ACN1
P56703,BD6ahy-B-B-PAM1
A4Y1H9,BD2gpj-A-A-ACY1
Q28N01,BD3cjd-A-A-STE1
Q2RXN9,BD2ouw-A-A-ACY1
Q9HJ63,BD2gvi-A-A-ACY1
O30200,BD1zx5-A-A-ACY1
B1YKD7,BD2q04-A-A-ACY1
Q39VF8,BD3mdp-A-A-SIN1
Q8EHB5,BD3cqy-A-A-SIN1
Q8A8E8,BD2gvk-A-A-ACY1
Q5ZUE7,BD4hfv-A-A-SIN1
Q97WQ4,BD3irb-B-B-ACY1
D2YW47,BD3vcr-A-A-PYR1
Q8ZPC3,BD2i6g-A-A-ACY1
P25084,BD2uv0-E-E-OHN1
P0ABE7,BD7jni-A-A-OLA1
P0ABE7,BD7jni-A-A-OLC1
A0A0H2WF95,BD3i09-A-A-AAE1
Q9ULW0,BD6vpl-A-A-MLA1
Q70LC6,BD3fbz-A-A-BOG1
P9WP25,BD3l21-B-B-PYR1
Q14653,BD3a77-A-A-ACY1
P28482,BD7w5o-A-A-MLA1
P0A434,BD2o4m-A-A-ACY1
Q7MXK0,BD4rdb-A-A-ACN1
P03300,BD4nls-A-A-ACY1
P03300,BD4nlu-A-A-ACY1
P03300,BD4nlv-A-A-ACY1
P03300,BD4nlx-A-A-ACY1
P03300,BD4nlt-A-A-ACY1
P03300,BD1ra6-A-A-ACY1
P03300,BD4nly-A-A-ACY1
P03300,BD4nlq-A-A-ACY1
P03300,BD4nlo-A-A-ACY1
P03300,BD4nlr-A-A-ACY1
P03300,BD4nlp-A-A-ACY1
P03300,BD4nlw-A-A-ACY1
C7BKP9,BD4mix-A-A-UD11
P9WHR7,BD6a2t-A-A-AKR1
A0A0H3C8Q1,BD4ggm-X-X-LP51
Q9I1P7,BD2igs-A-A-ACY1
Q0SI31,BD2p12-A-A-ACY1
Q9X0Z3,BD2nzc-A-A-ACY1
Q0S9X7,BD2g7g-A-A-ACY1
A9CKP4,BD2fsq-A-A-ACY1
O57746,BD3u4g-A-A-ACY1
Q8UEU8,BD2ojh-A-A-ACY1
P40161,BD3fss-A-A-MLA1
A9CJ67,BD2rfl-D-D-ACY1
Q6N370,BD2o38-A-A-ACY1
Q9S1P1,BD3bqy-A-A-ACY1
Q396C7,BD3r75-A-A-PYR1
A0A0H2UKZ3,BD4rha-A-A-ACY1
P19156,BD8ijv-A-A-PCW1
P19156,BD8ijv-A-B-CLR1
A0A1C8XRM6,BD7pi0-b-b-DGA1
A0A1C8XRM6,BD7pi0-B-B-3PH1
A0A1C8XRM6,BD7pi0-B-B-BCR1
Q9Y5Y4,BD6d26-A-A-OLA1
P02689,BD4d6a-A-A-PLM1
Q5F6E9,BD7oey-A-A-SIN1
F0QXN6,BD4rdy-A-A-3M51
P05132,BD4dfx-E-E-MYR1
P05132,BD4nts-A-A-MYR1
P05132,BD1apm-E-E-OCT1
P05132,BD1jbp-E-E-OCT1
P36887,BD1cdk-A-A-MYR1
P36887,BD1ctp-E-E-MYR1
P00517,BD2gfc-A-A-OCT1
P05132,BD4dg0-E-E-MYR1
P05132,BD1jlu-E-E-OCT1
P07550,BD6mxt-A-A-HTO1
P07550,BD6mxt-A-A-OLC1
Q9V2J8,BD6fj3-A-A-ACY1
A3DCJ4,BD6g1i-A-A-MLA1
Q16222,BD6z2f-B-B-UD11
O95470,BD4q6r-A-A-SIN1
Q12129,BD8rdd-B-B-ACY1
Q9BS26,BD2r2j-A-A-SIN1
Q8ISF8,BD6xwy-A-A-MLA1
Q0ABW0,BD7pgh-A-A-D121
P00782,BD1gns-A-A-ACN1
A0A8K1DE77,BD8pme-A-A-SIN1
P05024,BD7d91-A-A-PCW1
P05024,BD7d93-A-A-PCW1
P05024,BD7ddi-A-A-CLR1
P42866,BD8e0g-A-A-OLC1
P42866,BD8e0g-A-A-CLR1
Q9Z0S5,BD4p79-A-A-OLC1
Q6FLB1,BD3gxw-A-A-SIN1
Q13KT2,BD2xua-H-H-SHF1
P75906,BD4f9j-A-A-ACY1
P0AB77,BD1fc4-A-A-AKB1
P40337,BD4awj-F-F-ACY1
P42212,BD4jrb-A-A-PGT1
P42212,BD4jrb-A-A-D121
P9WKK7,BD6vb9-A-A-ACY1
K9XH36,BD8pzk-A-A-ECH1
Q5KZU5,BD6jst-A-A-LAE1
Q5KZU5,BD3ojg-A-A-HL41
Q5KZU5,BD4h9x-A-A-HL41
Q5KZU5,BD4h9t-A-A-HL41
P42866,BD5c1m-A-A-OLC1
Q9HVM5,BD6fms-A-A-OLC1
P83690,BD2arl-A-A-ACY1
P01116,BD5tar-A-A-FAR1
Q9V2J8,BD6me2-A-A-OLA1
Q9V2J8,BD6me3-A-A-OLA1
A0A0H2V3A6,BD3efb-B-B-ACY1
P01275,BD2m5p-X-X-PLM1
P26349,BD5niq-A-A-D6M1
P08842,BD1p49-A-A-BOG1
P01149,BD7qa8-I-A-Y018
P54762,BD6umw-A-A-CTC1
Q8ISF8,BD1uis-A-A-ACY1
P23368,BD1pj3-A-A-PYR1
L1J207,BD7l1e-A-A-OLC1
P10997,BD8f0j-P-P-D6M1
A8J264,BD7d0j-S-S-LHG1
A8J264,BD7d0j-S-P-NEX2
W5P0I2,BD6zk9-h-h-CDL1
P35354,BD5f19-A-A-AKR1
C8WZ86,BD5ere-A-A-ACY1
P51160,BD5e8f-D-D-GER1
Q9I6G0,BD8y1j-A-A-2KT1
Q76N89,BD3l4h-A-A-ACY1
U5HK46,BD4krg-A-A-BOG1
A0A8W4F7N8,BD8ueu-1r-1r-CDL1
Q02371,BD8q0a-b-b-3PE1
K1QRB6,BD8je9-A-A-ACY1
Q9CQ91,BD8pw5-b1-b1-3PE1
A0A8N7XJ91,BD6zka-V-M-3PE1
Q8HXG6,BD7qsd-Y-Y-CDL1
Q8HXG6,BD7qsd-Y-L-3PE3
Q05752,BD7qsk-r-r-CDL1
Q05752,BD7qso-r-I-3PE2
Q9Z1P6,BD7psa-r-r-CDL1
Q9Z1P6,BD8olt-r-Z-3PE1
J7H3P9,BD5y7p-B-B-CHD1
P48305,BD8q0a-m-m-3PE1
Q3UIU2,BD6ztq-i-h-CDL1
Q3UIU2,BD6ztq-i-i-3PE1
A0A4X1UIV8,BD8ugh-1i-1i-CDL1
A0A4X1UIV8,BD8ugr-5i-5i-PGV1
A0A4X1UIV8,BD8ugj-1i-1i-CHD1
Q02367,BD8q0a-i-i-CDL1
Q02367,BD8q0m-i-i-3PE1
Q02367,BD8q0a-i-i-CHD1
Q8EEC8,BD4aws-A-A-BOG1
A9RT62,BD8htu-U-U-LHG1
A9RT62,BD8htu-U-U-NEX1
Q9DC70,BD8om1-B-B-PC11
P17694,BD8q0f-D-D-3PE1
P17694,BD8q45-D-D-U101
Q91WD5,BD6ztq-D-D-3PE1
Q91WD5,BD8rgp-D-D-UQ1
A0A6P3DZ89,BD6zkd-4-4-3PE1
Q3J1A6,BD7mh3-M-M-CDL1
Q3J1A6,BD7mh4-M-M-CDL1
Q3J1A6,BD7mh9-M-M-CDL1
Q3J1A6,BD7mh5-M-M-CDL1
Q3J1A6,BD7mh8-M-M-CDL1
Q93VE0,BD7dz7-Z-Z-LHG1
Q93VE0,BD7dz7-Z-U-NEX1
P23930,BD6nwr-B-B-D121
A0A8T0PQ54,BD8v8m-A-A-NAR1
I6L8L9,BD5m6d-A-A-ACY1
P9WPE1,BD6aq4-C-C-PYR1
Q5KW80,BD5omj-A-A-PLM1
Q9HVZ9,BD8dp2-A-A-SIN1
Q70AC7,BD1rqh-A-A-PYR1
O14684,BD5k0i-A-A-BOG1
P07471,BD2y69-G-C-PEK1
P07471,BD2y69-G-G-CHD1
P0A334,BD5ec2-C-A-F091
P0A334,BD5ec2-C-C-DGA1
P0A334,BD5ec1-C-C-F091
P0A334,BD5ec1-C-C-DGA1
P0A334,BD5ebw-C-A-F091
P0A334,BD5ebw-C-C-DGA1
Q12791,BD8ghf-A-A-POV1
Q9ZS17,BD6riv-A-A-SIN1
P37330,BD1p7t-B-B-PYR1
P37330,BD1p7t-A-A-PYR1
Q9GZ28,BD1xqm-A-A-ACY1
Q9SHR7,BD8j6z-z-z-LHG1
Q9SHR7,BD8j6z-z-y-XAT1
P0A749,BD3kqj-A-A-UD11
P33038,BD3swa-A-A-UD11
P33038,BD3lth-A-A-UD11
P33038,BD3v4t-A-A-UD11
F2Y337,BD7akx-A-A-LFA1
F2Y337,BD7akx-A-A-OLC1
Q9V2J8,BD6hlo-A-A-OLA1
Q9V2J8,BD6hlo-A-A-OLC1
A0A411LJN5,BD8anq-A-A-LFA1
Q8RUT8,BD6eid-A-A-OLC1
Q8RUT8,BD6eig-A-A-LFA1
Q8RUT8,BD6eig-A-A-OLC1
P0C0S1,BD5aji-A-A-HEX1
P02730,BD7tya-A-A-PC11
S5DM51,BD5jsi-A-A-LFA1
S5DM51,BD5jsi-A-A-OLC1
Q9C8G5,BD8u53-A-A-PLM1
Q9C8G5,BD8u53-A-A-82T1
P0A6L4,BD4uui-A-A-PYR1
P0A6L4,BD2wkj-C-C-PYR1
P0A6L4,BD2xfw-A-A-PYR1
Q13426,BD1fu1-A-A-ACY1
P13035,BD2r4j-A-A-BOG1
Q3LSM4,BD2huf-A-A-1BO1
P31101,BD1e9v-A-A-ACY1
P11716,BD7tdg-A-A-POV1
Q94KI8,BD6e1k-A-A-PLM1
Q94KI8,BD6e1m-A-A-3PH1
P19156,BD5ylu-A-A-PCW1
Q4H132,BD7wyu-A-A-PCW1
P00519,BD2fo0-A-A-MYR1
A0A0F6AK91,BD1z82-B-B-G3P1
